Unnamed: 0,Case_Number,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,fatal_injury,shark_species,month_incident,country_code,continent,lat,long,geometry
4798,1939.02.26,1939,Unprovoked,India,Tamil Nadu, Chennai (formerly Madras),Bathing/Swimming,M,,FATAL,Y,08:30,Unknown,FATAL,,Feb,IN,AS,22.3511148,78.6677428,POINT (78.6677428 22.3511148)
4799,1939.02.26,1939,Provoked,New Zealand,North Island,Matakana River Mouth,Fishing,M,,Lacerations to left hand from hooked shark PROVOKED INCIDENT,N,08:30, shark,,,Feb,NZ,OC,-41.5000831,172.8344077,POINT (172.8344077 -41.5000831)
4800,1939.01.12,1939,Unprovoked,Australia,New South Wales,Clarence River,Scooping,M,Both 11,No injury,N,08:30, shark,,,Jan,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4801,1939.00.00,1939,Sea Disaster,Sri Lanka,Unknown,,She&,F,,Leg severely bitten,N,08:30,Unknown,,,,LK,AS,7.5554942,80.7137847,POINT (80.71378470000001 7.5554942)
4802,1939.00.00,1939,Boat,Bahamas,Andros Islands,Middle Bight,Fishing,Unknown,,"No injury to occupant, shark rammed bow of boat",N,08:30,Tiger shark,,tiger shark,,BS,,24.7736546,-78.0000547,POINT (-78.00005470000001 24.7736546)
4803,1939.00.00,1939,Unprovoked,Venezuela,Carabobo,"El Falito, near Puerto Cabello",Bathing,M,,FATAL.,Y,08:30,Unknown,FATAL,,,VE,SA,8.0018709,-66.1109318,POINT (-66.1109318 8.0018709)
4804,1939.00.00,1939,Unprovoked,Curacao,Ascension Bay,,Diving,M,,"No injury, left hip bumped by shark",N,08:30,Tiger shark,,tiger shark,,Unknown,Unknown,12.1176488,-68.9309263,POINT (-68.9309263 12.1176488)
4805,1939.00.00,1939,Unprovoked,Papua New Guinea,"Abau Sub District, Central Province",Aroma Passage,Swimming,M,,"Fatal, lower abdomen bitten",Y,08:30,Unknown,FATAL,,,PG,OC,-5.6816069,144.2489081,POINT (144.2489081 -5.6816069)
4806,1938.12.27,1938,Unprovoked,Australia,New South Wales,"North Beach, Belligen River",Swimming,M,19,"FATAL, thought to have been taken by a shark ",Y,08:30,Unknown,FATAL,,Dec,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4807,1938.10.05,1938,Provoked,Australia,Queensland,Between Wynnum & St. Helena Island,Fishing,M,18,Laceration to left foot & ankle by netted shark PROVOKED INCIDENT,N,18:30,"Tiger shark, ",,tiger shark,Oct,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4808,1938.08.29,1938,Unprovoked,China,North China,"Outer harbor, Hong Kong",Swimming,M,,"FATAL, leg severed  ",Y,18:30,Unknown,FATAL,,Aug,CN,AS,35.000074,104.999927,POINT (104.999927 35.000074)
4809,1938.08.18,1938,Provoked,USA,California,"Near Encino, Los Angeles County",Fishing,M,,Lacerations to hand by hooked shark PROVOKED INCIDENT,N,18:30,Unknown,,,Aug,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4810,1938.07.18,1938,Unprovoked,USA,South Carolina,Charleston,Swimming,M,,Foot & ankle lacerated,N,18:30,Unknown,,,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4811,1938.07.17,1938,Provoked,Turkey,Unknown,,Fishing,M,,Injured by harpooned shark PROVOKED INCIDENT,N,18:30,Unknown,,,Jul,TR,AS,38.9597594,34.9249653,POINT (34.9249653 38.9597594)
4812,1938.07.17,1938,Provoked,USA,California,"Dana Point, Orange County","Fishing,'s",M,27,Leg bitten by gaffed shark PROVOKED INCIDENT,N,18:30,Unknown,,,Jul,US,,39.7837304,-100.445882,POINT (-100.445882 39.7837304)
4813,1938.07.12,1938,Unprovoked,Australia,Torres Strait,Off Bathurst Island,"Hardhat,",M,25,"FATAL, dragged out of diving helmet  ",Y,18:30,Unknown,FATAL,,Jul,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4814,1938.06.17,1938,Unprovoked,Nicaragua,Lower San Juan River,,"The,,",Unknown,,"FATAL x 2, all other passengers & crew reached shore after a long swim",Y,18:30,Thought involve bull sharks,FATAL,bull shark,Jun,NI,,12.6090157,-85.2936911,POINT (-85.2936911 12.6090157)
4815,1938.06.08,1938,Unprovoked,Australia,New South Wales,Manly,Hardhat,M,,"No injury, the shark knocked him off his feet",N,18:30, shark,,,Jun,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
4816,1938.05.26,1938,Unprovoked,Costa Rica,Nicoya Peninsula,,Fishing,M,,"FATAL, pulled overboard by tuna, & bitten by shark ",Y,18:30,Unknown,FATAL,,May,CR,,10.2735633,-84.0739102,POINT (-84.0739102 10.2735633)
4817,1938.05.15,1938,Unprovoked,Iraq,Basrah City,"Ashar Canal, where people wash clothes & kitchen pans","Swimming,",M,9 or 10,"Arm severed, but survived. Note: Some weeks later he was swimming at the same spot when a shark severed his right foot.",N,18:30,Bull shark,,bull shark,May,IQ,AS,33.0955793,44.1749775,POINT (44.1749775 33.0955793)
4818,1938.05.02,1938,Unprovoked,India,West Bengal,Hooghley River near Budge-Budge,Bathing,Unknown,,"2 survived,       1 FATAL",Y,18:30,Unknown,FATAL,,May,IN,AS,22.3511148,78.6677428,POINT (78.6677428 22.3511148)
4819,1938.03.21,1938,Unprovoked,Fiji,Viti Levu,Singatoka River,Wading,M,,unknown,N,18:30,Unknown,,,Mar,FJ,OC,-18.1239696,179.0122737,POINT (179.0122737 -18.1239696)
4820,1938.03.08,1938,Unprovoked,Australia,Northern Territory,Liverpool River,Canoe,M,,"Leg severed, but survived",N,18:30,Unknown,,,Mar,AU,OC,-24.7761086,134.755,POINT (134.755 -24.7761086)
